X,Y,OBJECTID,Model,Type,Bulb_Type,Wattage,Voltage,Address_Number,Street,City,Light_Fixture_Theme,DATASOURCE,Permit_Number,CartegraphID,SHAPE,Retired,Status,MacID,TEP_Account_Number,Power_Pedestal_ID
986843.922900263,428701.766076118,12972,ATBS E R2,Autobahn,LED,40,240,1144,W Lincoln St,Tucson,Other,TDOT_STREETLIGHTS,,7876,,,Active,00F0F70D,2910005210,418
986964.281496063,428703.167322837,12973,ATBS E R2,Autobahn,LED,40,240,1134,W Lincoln St,Tucson,Other,TDOT_STREETLIGHTS,,7877,,,Active,00F0F7F5,2910005210,418
987120.722440943,428704.298228346,12974,ATBS E R2,Autobahn,LED,40,240,1110,W Lincoln St,Tucson,Other,TDOT_STREETLIGHTS,,7878,,,Active,00F25944,2910005210,418
987256.060695536,428705.320209973,12975,ATBS E R2,Autobahn,LED,40,240,1074,W Lincoln St,Tucson,Other,TDOT_STREETLIGHTS,,7879,,,Active,00F0F2E2,2910005210,418
987427.469160106,428707.527559057,12976,ATBS E R2,Autobahn,LED,40,240,1060,W Lincoln St,Tucson,Other,TDOT_STREETLIGHTS,,7880,,,Active,00F0F2EB,2910005210,418
987572.593175855,428707.689304464,12977,ATBS E R2,Autobahn,LED,40,240,1040,W Lincoln St,Tucson,Other,TDOT_STREETLIGHTS,,7881,,,Active,00F0F6A5,2910005210,418
987713.363188975,428710.361220472,12978,ATBS E R2,Autobahn,LED,40,240,1020,W Lincoln St,Tucson,Other,TDOT_STREETLIGHTS,,7882,,,Active,00F0F2E6,2910005210,418
987864.819553807,428711.816272967,12979,ATBS E R2,Autobahn,LED,40,240,1002,W Lincoln St,Tucson,Other,TDOT_STREETLIGHTS,,7883,,,Active,00F0F62B,2910005210,418
987871.168635171,428317.566272967,12980,ATBS E R2,Autobahn,LED,40,,1001,W District St,Tucson,Other,TDOT_STREETLIGHTS,,7884,,,Active,,2910005210,418
987113.722440943,428310.435039371,12981,ATBS E R2,Autobahn,LED,40,240,1113,W District St,Tucson,Other,TDOT_STREETLIGHTS,,7885,,,Active,00F0F720,2910005210,418
